Nazwa,Rentownosc,Podstawa,Max,Min,Zm,Zm_percent,Czas
Polska Overnight,5.65,4.6,5.36,4.7,0.95,20.21,23/01
Polska 1-miesięczne,5.81,5.4,5.62,5.5,0.2,3.57,23/01
Polska 2-miesięczne,5.87,5.4,5.69,5.5,0.2,3.53,23/01
Polska 1-roczne,5.075,5.187,5.187,5.062,-0.171,-3.26,23/01
Polska 2-letnie,5.178,5.242,5.242,5.138,-0.013,-0.25,23/01
Polska 3-letnie,5.338,5.34,5.373,5.274,-0.015,-0.28,23/01
Polska 4-letnie,5.574,5.607,5.575,5.455,0.073,1.33,23/01
Polska 5-letnie,5.643,5.702,5.647,5.513,-0.011,-0.19,23/01
Polska 6-letnie,5.604,5.585,5.722,5.585,0.246,4.67,23/01
Polska 8-letnie,5.807,5.923,5.935,5.799,0.041,0.7,23/01
Polska 10-letnie,5.94,5.952,5.952,5.823,0.048,0.81,21/01
